SEQ,Shipping Location Code,Shipping Location Name,Delivery Due Date,Delivery Time (From),Delivery Time (To),Item Number,Item Name,Supplier Code,Supplier Name,User Code,User Name,P/F,P/F Name,Order No.,Order Quantity,Unit,Production Classification,Color,Item Class,Packing Name,Packing Capacity,Pickup,Delivery Slip No.,Delivery Slip & Receipt Card Print Date,Inspection Report Print Date,Item Card Print Date,Original Item Code,Supplier Information,Output date
1,0,<Default>,30-09-24,,,904801339800M2,GROMMET,7667,PT. CATURINDO AGUNGJAYA RUBBER,6312,Plastic Painting,ME01,Plastic Painting,448,400,PCS,,,2,6011,2000,,Y0B766710725986,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
2,0,<Default>,30-09-24,,,2PVF2151000080,"SEAL,GUARD",7667,PT. CATURINDO AGUNGJAYA RUBBER,7667,PT. CATURINDO AGUNGJAYA RUBBER,PRPC,PF POD,J1776,240,PCS,,,2,,1,,Y0B766710728883,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
3,0,<Default>,30-09-24,,,5TPF74440000M3,"COVER,REAR FOOTREST 2",7667,PT. CATURINDO AGUNGJAYA RUBBER,7667,PT. CATURINDO AGUNGJAYA RUBBER,PRPC,PF POD,J0190,123,PCS,,,2,,1,,Y0B766710728911,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
4,0,<Default>,30-09-24,7:30,8:00,2PVE2576000080,"HOSE,1",7667,PT. CATURINDO AGUNGJAYA RUBBER,5902,DEPO Local B/D,P92B,PF Depo Local Medium parts,4282,100,PCS,,,2,6011,100,,Y0B766710726391,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
5,0,<Default>,30-09-24,7:30,8:00,2PVH5546100080,BAND,7667,PT. CATURINDO AGUNGJAYA RUBBER,5902,DEPO Local B/D,P92B,PF Depo Local Medium parts,2067,100,PCS,,,2,Plastic Cont.,100,,Y0B766710727573,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
6,0,<Default>,30-09-24,7:30,8:00,45PF53640000M0,DAMPER,7667,PT. CATURINDO AGUNGJAYA RUBBER,5902,DEPO Local B/D,P92B,PF Depo Local Medium parts,2723,400,PCS,,,2,6033,200,,Y0B766710727172,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
7,0,<Default>,30-09-24,7:30,8:00,9.04452E+13,HOSE,7667,PT. CATURINDO AGUNGJAYA RUBBER,5902,DEPO Local B/D,P92B,PF Depo Local Medium parts,2066,100,PCS,,,2,,100,,Y0B766710727591,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
8,0,<Default>,30-09-24,7:30,8:00,BDJE2467000080,"COVER,RADIATOR",7667,PT. CATURINDO AGUNGJAYA RUBBER,5902,DEPO Local B/D,P92B,PF Depo Local Medium parts,393,100,PCS,,,2,2033,20,,Y0B766710728158,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
9,0,<Default>,30-09-24,7:30,8:00,BDJE246E000080,"COVER,2",7667,PT. CATURINDO AGUNGJAYA RUBBER,5902,DEPO Local B/D,P92B,PF Depo Local Medium parts,395,100,PCS,,,2,6011,100,,Y0B766710728160,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
10,0,<Default>,30-09-24,7:30,8:00,BDJE3767000080,"CAP,INJECTOR",7667,PT. CATURINDO AGUNGJAYA RUBBER,5902,DEPO Local B/D,P92B,PF Depo Local Medium parts,815,100,PCS,,,2,6011,100,,Y0B766710728156,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
