SEQ,Delivery Due Date,Delivery Time (From),Delivery Time (To),Item Number,Item Name,User Code,Order No.,Order Quantity,Unit
1,30-08-24,0:00,0:00,B74F483H000080,BAND,5202,11,200,PCS
2,30-08-24,0:00,0:00,9.04801E+13,GROMMET,5301,824,80,PCS
3,30-08-24,0:00,0:00,904801339800M2,GROMMET,6312,427,400,PCS
4,30-08-24,7:30,8:00,45PF53640000M0,DAMPER,5902,2685,8,PCS
5,30-08-24,7:30,8:00,B8DH5546100080,BAND,5902,564,100,PCS
6,30-08-24,7:30,8:00,BDJE2467000080,"COVER,RADIATOR",5902,392,100,PCS
7,30-08-24,7:30,8:00,BDJE246E000080,"COVER,2",5902,394,100,PCS
8,30-08-24,7:30,8:00,BDJE3767000080,"CAP,INJECTOR",5902,795,200,PCS
9,30-08-24,7:30,8:00,BDJH5546000080,BAND,5902,383,100,PCS
10,30-08-24,7:30,8:00,BK6F23270000M0,"GUARD,MUD 1",5902,1403,100,PCS
11,30-08-24,7:30,8:00,BK6F247A010080,"HOSE,1",5902,1236,200,PCS
12,30-08-24,7:30,8:00,B3MF1826000080,"PIPE,BREATHER",590B,1222,40,PCS
13,30-08-24,7:30,8:00,B3MF2178000080,TENSIONER,590B,1127,80,PCS
14,30-08-24,7:30,8:00,B3MH1662000080,"COVER,CONNECTOR",590B,1222,40,PCS
15,30-08-24,7:30,8:00,B5DF465B000080,"CAP,ROTOR",590B,3684,360,PCS
16,30-08-24,7:30,8:00,B65F3415000080,"COVER,BALL RACE 1",590B,3212,440,PCS
17,30-08-24,7:30,8:00,B65H5546000080,BAND,590B,5266,360,PCS
18,30-08-24,7:30,8:00,B6HF1621100080,FLAP,590B,2049,80,PCS
19,30-08-24,7:30,8:00,BLSF1521000080,FLAP,590B,134,360,PCS
20,30-08-24,7:30,8:00,BLSF1621000080,FLAP,590B,134,360,PCS
21,30-08-24,7:30,8:00,2PHF3415000080,"COVER,BALL RACE 1",6111,2784,150,PCS
22,30-08-24,7:30,8:00,2PHF71140000M0,STOPPER,6111,6333,120,PCS
23,30-08-24,7:30,8:00,B65H5546000080,BAND,6111,1012,100,PCS
24,30-08-24,7:30,8:00,BEJE5373000080,"PIPE,BREATHER",6111,1274,100,PCS
25,30-08-24,7:30,8:00,BJMF1621000080,FLAP,6111,844,100,PCS
26,30-08-24,7:30,8:00,BJMF465B000080,"CAP,ROTOR",6111,708,100,PCS
27,30-08-24,7:30,8:00,BJMH2592000080,BAND,6111,708,100,PCS
28,30-08-24,7:30,8:00,2DPE5495000080,"SEAL,PROTECTOR",690G,1883,760,PCS
29,30-08-24,7:30,8:00,B5DF465B000080,"CAP,ROTOR",690G,1378,200,PCS
