SEQ,Shipping Location Code,Shipping Location Name,Delivery Due Date,Delivery Time (From),Delivery Time (To),Item Number,Item Name,Supplier Code,Supplier Name,User Code,User Name,P/F,P/F Name,Order No.,Order Quantity,Unit,Production Classification,Color,Item Class,Packing Name,Packing Capacity,Pickup,Delivery Slip No.,Delivery Slip & Receipt Card Print Date,Inspection Report Print Date,Item Card Print Date,Original Item Code,Supplier Information,Output date
1,"0000","<Default>",2024-12-13,,,"90480148360080","GROMMET","7667","PT. CATURINDO AGUNGJAYA RUBBER","5301","Steel Paint","P9DI","","00887",160,"PCS","","","2","6011",1920,,"Y0B766710747372",2024-11-19 12:21:23,"-",2024-11-19 12:21:23,"","",2024-12-04 07:21:45
2,"0000","<Default>",2024-12-13,,,"904801501400M0","GROMMET","7667","PT. CATURINDO AGUNGJAYA RUBBER","5301","Steel Paint","P9DI","","00041",150,"PCS","","","2","6011",400,,"Y0B766710748493",2024-11-19 12:21:23,"-",2024-11-19 12:21:23,"","",2024-12-04 07:21:45
3,"0000","<Default>",2024-12-13,,,"1DYF2151000080","SEAL,GUARD","7667","PT. CATURINDO AGUNGJAYA RUBBER","6111","Body Assy #2","MA02","Body Assy Medium Parts","03006",100,"PCS","","","2","2033",200,,"Y0B766710744951",2024-11-19 12:21:23,"-",2024-11-19 12:21:23,"","",2024-12-04 07:21:45
4,"0000","<Default>",2024-12-13,,,"904801339800M2","GROMMET","7667","PT. CATURINDO AGUNGJAYA RUBBER","6312","Plastic Painting","ME01","Plastic Painting","00502",600,"PCS","","","2","6011",2000,,"Y0B766710745404",2024-11-19 12:21:23,"-",2024-11-19 12:21:23,"","",2024-12-04 07:21:45
5,"0000","<Default>",2024-12-13,,,"90480128220080","GROMMET","7667","PT. CATURINDO AGUNGJAYA RUBBER","690E","Depo Body Export (Lot=40)","SBWE","","00052",80,"PCS","","","2","6011",40,,"Y0B766710746999",2024-11-19 12:21:23,"-",2024-11-19 12:21:23,"","",2024-12-04 07:21:45
6,"0000","<Default>",2024-12-13,**:**,**:**,"BWPF1621000080","FLAP","7667","PT. CATURINDO AGUNGJAYA RUBBER","690G","Depo Body Assy #2","MA02","Body Assy Medium Parts","00004",200,"PCS","","","2","2033",120,,"Y0B766710748472",2024-11-19 12:21:23,"-",2024-11-19 12:21:23,"","",2024-12-04 07:21:45
7,"0000","<Default>",2024-12-13,,,"D09F1621000080","FLAP","7667","PT. CATURINDO AGUNGJAYA RUBBER","690G","Depo Body Assy #2","MA02","Body Assy Medium Parts","00004",120,"PCS","","","2","2033",120,,"Y0B766710748478",2024-11-19 12:21:23,"-",2024-11-19 12:21:23,"","",2024-12-04 07:21:45
8,"0000","<Default>",2024-12-13,**:**,**:**,"BWPF135F000080","COVER","7667","PT. CATURINDO AGUNGJAYA RUBBER","690G","Depo Body Assy #2","MA03","Body Assy Small Parts","00004",320,"PCS","","","2","6011",400,,"Y0B766710748522",2024-11-19 12:21:23,"-",2024-11-19 12:21:23,"","",2024-12-04 07:21:45
9,"0000","<Default>",2024-12-13,,,"2PVF2151000080","SEAL,GUARD","7667","PT. CATURINDO AGUNGJAYA RUBBER","7667","PT. CATURINDO AGUNGJAYA RUBBER","PRPC","PF POD","J1817",240,"PCS","","","2","",1,,"Y0B766710748526",2024-11-19 12:21:23,"-",2024-11-19 12:21:23,"","",2024-12-04 07:21:45
10,"0000","<Default>",2024-12-13,,,"50CE48820000M0","HOSE,BAND 2","7667","PT. CATURINDO AGUNGJAYA RUBBER","7667","PT. CATURINDO AGUNGJAYA RUBBER","PRPC","PF POD","J0365",10,"PCS","","","2","",1,,"Y0B766710748529",2024-11-19 12:21:23,"-",2024-11-19 12:21:23,"","",2024-12-04 07:21:45
11,"0000","<Default>",2024-12-13,,,"5TPF74440000M3","COVER,REAR FOOTREST 2","7667","PT. CATURINDO AGUNGJAYA RUBBER","7667","PT. CATURINDO AGUNGJAYA RUBBER","PRPC","PF POD","J0224",7,"PCS","","","2","",1,,"Y0B766710748535",2024-11-19 12:21:23,"-",2024-11-19 12:21:23,"","",2024-12-04 07:21:45
12,"0000","<Default>",2024-12-13,,,"90480128080080","GROMMET","7667","PT. CATURINDO AGUNGJAYA RUBBER","7667","PT. CATURINDO AGUNGJAYA RUBBER","PRPC","PF POD","J2314",600,"PCS","","Q-SPEC-L","2","",1,,"Y0B766710748540",2024-11-19 12:21:23,"-",2024-11-19 12:21:23,"","",2024-12-04 07:21:45
13,"0000","<Default>",2024-12-13,07:30,08:00,"2PVE2576000080","HOSE,1","7667","PT. CATURINDO AGUNGJAYA RUBBER","5902","DEPO Local B/D","P92B","PF Depo Local Medium parts","04384",100,"PCS","","","2","6011",100,,"Y0B766710745871",2024-11-19 12:21:23,"-",2024-11-19 12:21:23,"","",2024-12-04 07:21:45
14,"0000","<Default>",2024-12-13,07:30,08:00,"2PVH5546100080","BAND","7667","PT. CATURINDO AGUNGJAYA RUBBER","5902","DEPO Local B/D","P92B","PF Depo Local Medium parts","02169",100,"PCS","","","2","Plastic Cont.",100,,"Y0B766710747194",2024-11-19 12:21:23,"-",2024-11-19 12:21:23,"","",2024-12-04 07:21:45
15,"0000","<Default>",2024-12-13,07:30,08:00,"45PF53640000M0","DAMPER","7667","PT. CATURINDO AGUNGJAYA RUBBER","5902","DEPO Local B/D","P92B","PF Depo Local Medium parts","02826",400,"PCS","","","2","6033",200,,"Y0B766710746741",2024-11-19 12:21:23,"-",2024-11-19 12:21:23,"","",2024-12-04 07:21:45
16,"0000","<Default>",2024-12-13,07:30,08:00,"90445228000080","HOSE","7667","PT. CATURINDO AGUNGJAYA RUBBER","5902","DEPO Local B/D","P92B","PF Depo Local Medium parts","02168",100,"PCS","","","2","",100,,"Y0B766710747210",2024-11-19 12:21:23,"-",2024-11-19 12:21:23,"","",2024-12-04 07:21:45
